water_name,county,raw_species,standardized_species,quantity,length,stock_date,source_year,lake_id,match_type,match_details
"RED CASTLE,UPPER G16",SUMMIT,TIGER TROUT,Tigers,2567,2.63,2017-07-11,2017,183,exact,Matched on letter-number: G-16
REIDS L W-38,SUMMIT,BROOK TROUT,Brookies,503,2.29,2017-07-12,2017,503,exact,Matched on letter-number: W-38
ROCK L A-10,SUMMIT,TIGER TROUT,Tigers,400,2.71,2017-06-29,2017,298,exact,Matched on letter-number: A-10
ROCKPORT RES,SUMMIT,RAINBOW,Rainbows,4004,10.44,2017-10-17,2017,,none,No match found
ROCKPORT RES,SUMMIT,RAINBOW,Rainbows,9230,7.06,2017-10-17,2017,,none,No match found
ROCKPORT RES,SUMMIT,RAINBOW,Rainbows,2345,7.2,2017-10-17,2017,,none,No match found
ROCKPORT RES,SUMMIT,RAINBOW,Rainbows,21440,7.2,2017-10-17,2017,,none,No match found
ROCKPORT RES,SUMMIT,RAINBOW,Rainbows,3518,7.2,2017-10-17,2017,,none,No match found
ROCKPORT RES,SUMMIT,RAINBOW,Rainbows,7810,7.06,2017-10-17,2017,,none,No match found
ROCKPORT RES,SUMMIT,RAINBOW,Rainbows,22720,7.06,2017-10-17,2017,,none,No match found
ROCKPORT RES,SUMMIT,RAINBOW,Rainbows,3050,7.43,2017-10-18,2017,,none,No match found
ROCKPORT RES,SUMMIT,RAINBOW,Rainbows,401,14.22,2017-11-13,2017,,none,No match found
RUTH L BR-40,SUMMIT,BROOK TROUT,Brookies,503,2.29,2017-07-12,2017,58,exact,Matched on letter-number: BR-40
SALAMANDER L BR-26,SUMMIT,BROOK TROUT,Brookies,398,2.29,2017-07-12,2017,60,exact,Matched on letter-number: BR-26
SCOW L BR-12,SUMMIT,BROOK TROUT,Brookies,1697,2.29,2017-07-12,2017,61,exact,Matched on letter-number: BR-12
SMITH-MOREHOUSE RES,SUMMIT,KOKANEE,Kokanee,12382,3.27,2017-05-14,2017,,none,No match found
SMITH-MOREHOUSE RES,SUMMIT,RAINBOW,Rainbows,2040,9.93,2017-05-17,2017,,none,No match found
SMITH-MOREHOUSE RES,SUMMIT,RAINBOW,Rainbows,2040,9.93,2017-05-22,2017,,none,No match found
SMITH-MOREHOUSE RES,SUMMIT,RAINBOW,Rainbows,1560,9.87,2017-06-05,2017,,none,No match found
SMITH-MOREHOUSE RES,SUMMIT,RAINBOW,Rainbows,1798,10.01,2017-06-20,2017,,none,No match found
SMITH-MOREHOUSE RES,SUMMIT,RAINBOW,Rainbows,1203,9.73,2017-06-28,2017,,none,No match found
SMITH-MOREHOUSE RES,SUMMIT,RAINBOW,Rainbows,1267,10.96,2017-07-05,2017,,none,No match found
SMITH-MOREHOUSE RES,SUMMIT,RAINBOW,Rainbows,1699,10.98,2017-07-19,2017,,none,No match found
SMITH-MOREHOUSE RES,SUMMIT,RAINBOW,Rainbows,1500,10.77,2017-07-25,2017,,none,No match found
SMITH-MOREHOUSE RES,SUMMIT,RAINBOW,Rainbows,1501,10.68,2017-08-07,2017,,none,No match found
SMITH-MOREHOUSE RES,SUMMIT,RAINBOW,Rainbows,1000,11.44,2017-08-21,2017,,none,No match found
SMITH-MOREHOUSE RES,SUMMIT,GRAYLING ARCTIC,Grayling,22200,2.79,2017-09-19,2017,,none,No match found
SMITHS FK PASS L G14,SUMMIT,TIGER TROUT,Tigers,2608,2.63,2017-07-11,2017,182,exact,Matched on letter-number: G-14
STATELINE RES,SUMMIT,RAINBOW,Rainbows,4160,9.87,2017-06-05,2017,,none,No match found
STATELINE RES,SUMMIT,RAINBOW,Rainbows,3780,10.6,2017-06-06,2017,,none,No match found
STATELINE RES,SUMMIT,RAINBOW,Rainbows,2140,9.87,2017-06-07,2017,,none,No match found
STILLWATER FK,SUMMIT,RAINBOW,Rainbows,149,10.03,2017-06-27,2017,,none,No match found
STILLWATER FK,SUMMIT,RAINBOW,Rainbows,399,10.6,2017-07-05,2017,,none,No match found
STILLWATER FK,SUMMIT,RAINBOW,Rainbows,401,10.98,2017-07-17,2017,,none,No match found
STILLWATER FK,SUMMIT,RAINBOW,Rainbows,400,10.68,2017-07-31,2017,,none,No match found
STILLWATER FK,SUMMIT,RAINBOW,Rainbows,400,11.02,2017-08-14,2017,,none,No match found
SUMMIT L GR-5,SUMMIT,GRAYLING ARCTIC,Grayling,949,2.79,2017-09-20,2017,642,exact,Matched on letter-number: GR-5
TAMARACK L GR-2,SUMMIT,TIGER TROUT,Tigers,1877,2.63,2017-07-11,2017,406,exact,Matched on letter-number: GR-2
TEAPOT L A-60,SUMMIT,RAINBOW,Rainbows,501,10.24,2017-06-26,2017,309,exact,Matched on letter-number: A-60
TEAPOT L A-60,SUMMIT,TIGER TROUT,Tigers,300,8.98,2017-06-27,2017,309,exact,Matched on letter-number: A-60
